,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
537,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,... < 100 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
538,... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,42,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
539,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,... < 100 DM,... < 1 year,1,male : single,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,none,yes,good
540,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1534,... < 100 DM,... < 1 year,1,male : single,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,bad
541,no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
542,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes,bad
543,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,bad
544,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,good
545,... < 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes,bad
546,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
547,no checking account,24,existing credits paid back duly till now,radio/television,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",32,bank,own,1,skilled employee / official,2,none,yes,good
548,... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,bad
549,no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
550,no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,good
551,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,none,yes,good
552,... < 0 DM,48,existing credits paid back duly till now,radio/television,6999,... < 100 DM,4 <= ... < 7 years,1,male : single,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
553,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",27,none,own,1,skilled employee / official,1,none,yes,good
554,0 <= ... < 200 DM,9,existing credits paid back duly till now,education,1199,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,building society savings agreement/ life insurance,67,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
555,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,... < 100 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",22,stores,own,1,skilled employee / official,1,none,yes,bad
556,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",28,none,own,2,skilled employee / official,1,none,yes,bad
557,no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/ life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
558,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,bank,own,1,skilled employee / official,1,none,yes,bad
559,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,... < 100 DM,... < 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,bad
560,... < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
561,... < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,"car or other, not in attribute Savings account/bonds",24,bank,rent,1,unskilled - resident,1,none,yes,bad
562,... >= 200 DM / salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,... < 100 DM,... < 1 year,2,male : single,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,none,yes,good
563,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
564,0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
565,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
566,... < 0 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",36,none,own,1,skilled employee / official,1,none,yes,bad
567,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,... >= 1000 DM,... >= 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",34,none,own,1,skilled employee / official,1,none,yes,good
568,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
569,... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
570,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... < 100 DM,... < 1 year,4,male : single,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
571,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,"car or other, not in attribute Savings account/bonds",38,none,own,1,skilled employee / official,1,none,yes,good
572,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,male : single,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
573,... < 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes,good
574,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1082,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,none,own,2,unskilled - resident,1,none,yes,good
575,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,... < 100 DM,4 <= ... < 7 years,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",24,bank,own,2,skilled employee / official,1,none,yes,good
576,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2930,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,good
577,no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1 <= ... < 4 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
578,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,none,own,2,skilled employee / official,1,none,yes,bad
579,no checking account,24,existing credits paid back duly till now,retraining,937,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",27,none,own,2,unskilled - resident,1,none,yes,good
580,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,... >= 7 years,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes,bad
581,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes,good
582,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes,good
583,0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,4,male : single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,bad
584,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,52,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
585,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes,bad
586,... < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,good
587,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,none,yes,good
588,... < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
589,... < 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,... < 100 DM,... >= 7 years,3,male : single,none,3,building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1,none,yes,bad
590,... < 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered under the customers name",yes,good
591,0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",42,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
592,no checking account,21,existing credits paid back duly till now,business,1572,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes,good
593,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
594,... < 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,... >= 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",40,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
595,0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year,1,male : single,none,1,building society savings agreement/ life insurance,32,stores,own,1,unskilled - resident,1,none,yes,bad
596,... < 0 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",23,none,rent,2,skilled employee / official,1,none,yes,bad
597,0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,bad
598,no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1,none,yes,bad
599,no checking account,24,delay in paying off in the past,business,3863,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,good
600,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2329,... < 100 DM,... < 1 year,1,male : single,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,good
601,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,... < 100 DM,1 <= ... < 4 years,4,male : single,none,1,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes,bad
602,0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes,bad
603,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
604,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,good
605,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
606,no checking account,24,critical account/ other credits existing (not at this bank),business,4526,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
607,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,bad
608,no checking account,18,existing credits paid back duly till now,radio/television,2051,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes,good
609,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,good
610,... < 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... < 500 DM,unemployed,4,male : single,none,3,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,bad
611,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,... >= 7 years,1,male : single,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes,bad
612,... < 0 DM,21,existing credits paid back duly till now,radio/television,3357,... >= 1000 DM,... < 1 year,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",29,bank,own,1,skilled employee / official,1,none,yes,good
613,... < 0 DM,24,all credits at this bank paid back duly,car (used),3632,... < 100 DM,1 <= ... < 4 years,1,male : single,guarantor,4,"car or other, not in attribute Savings account/bonds",22,bank,rent,1,skilled employee / official,1,none,no,good
614,no checking account,18,delay in paying off in the past,furniture/equipment,1808,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,bad
615,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",48,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
616,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
617,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes,good
618,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,co-applicant,4,"car or other, not in attribute Savings account/bonds",21,none,rent,1,skilled employee / official,1,none,yes,bad
619,no checking account,12,existing credits paid back duly till now,car (new),640,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes,good
620,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,good
621,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,32,bank,own,2,skilled employee / official,1,none,yes,bad
622,no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes,bad
623,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,... < 100 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",22,none,rent,1,skilled employee / official,1,none,yes,good
624,... < 0 DM,18,existing credits paid back duly till now,radio/television,2600,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes,bad
625,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",35,none,own,1,skilled employee / official,1,none,yes,good
626,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
627,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,bad
628,no checking account,42,critical account/ other credits existing (not at this bank),furniture/equipment,4042,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
629,no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,... >= 7 years,1,male : single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes,good
630,... < 0 DM,24,existing credits paid back duly till now,radio/television,3660,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,1,none,yes,good
631,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",44,bank,own,1,skilled employee / official,1,none,yes,bad
632,0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,good
633,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,... < 100 DM,... < 1 year,2,male : single,co-applicant,2,"car or other, not in attribute Savings account/bonds",19,none,rent,2,skilled employee / official,1,none,yes,bad
634,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,... < 100 DM,... < 1 year,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",25,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
635,no checking account,12,existing credits paid back duly till now,education,1393,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,good
636,no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,1,none,yes,good
637,no checking account,60,delay in paying off in the past,radio/television,15653,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
638,no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",34,none,own,1,skilled employee / official,2,none,yes,good
639,... < 0 DM,42,delay in paying off in the past,radio/television,4370,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,26,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,bad
640,... < 0 DM,18,existing credits paid back duly till now,education,750,... < 100 DM,unemployed,4,male : single,none,1,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,bad
641,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1308,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",38,none,own,2,unskilled - resident,1,none,yes,good
642,no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
643,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1851,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,2,"car or other, not in attribute Savings account/bonds",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
644,... < 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,building society savings agreement/ life insurance,32,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
645,no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,... < 1 year,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
646,... < 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,32,none,own,2,skilled employee / official,1,none,yes,good
647,no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,bad
648,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),947,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes,bad
649,... < 0 DM,12,existing credits paid back duly till now,education,684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,rent,1,unskilled - resident,2,none,yes,bad
650,... < 0 DM,48,existing credits paid back duly till now,education,7476,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,unknown / no property,50,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
651,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,1,none,yes,bad
652,... < 0 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,... >= 7 years,4,male : single,co-applicant,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,bad
653,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",42,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
654,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2346,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
655,... < 0 DM,14,existing credits paid back duly till now,car (new),3973,... < 100 DM,unemployed,1,male : single,none,4,unknown / no property,22,none,for free,1,skilled employee / official,1,none,yes,good
656,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",41,bank,own,1,unskilled - resident,2,none,yes,bad
657,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",37,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
658,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",28,none,own,2,skilled employee / official,1,none,yes,good
659,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,... < 100 DM,... >= 7 years,2,male : single,none,1,unknown / no property,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
660,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1297,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,good
661,... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",23,none,own,1,skilled employee / official,1,none,yes,bad
662,no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,... < 100 DM,... >= 7 years,4,male : single,none,2,real estate,50,none,own,2,skilled employee / official,1,none,yes,good
663,0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,1050,... < 100 DM,unemployed,4,male : single,none,1,building society savings agreement/ life insurance,35,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
664,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),education,1047,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/ life insurance,50,none,own,1,unskilled - resident,1,none,yes,good
665,no checking account,24,critical account/ other credits existing (not at this bank),others,6314,... < 100 DM,unemployed,4,male : single,co-applicant,2,unknown / no property,27,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
